,Experiment,Experiment,Control,Control
224625_x_at,4661.22,4899.0767,4355.0376,4400.6133
224659_at,126.47228,130.4307,123.98391,119.15417
224669_at,169.89682,175.07584,138.87144,142.32523
224678_at,129.60043,128.27368,94.89105,80.08651
224695_at,1034.8906,1041.251,861.4241,704.9468
224708_at,444.92947,449.66357,378.18646,375.9897
224710_at,1911.3615,2094.4937,1917.8503,1894.88
224711_at,1181.036,1278.9757,960.64575,947.5027
224718_at,678.9083,775.07764,516.679,482.41888
224727_at,266.6807,281.98935,262.8925,240.26108
224732_at,985.1233,1070.6746,841.7661,778.2129
224746_at,324.2433,310.5305,275.98245,236.75778
224769_at,1662.9891,1625.6516,1465.2476,1319.6451
224773_at,145.915,123.9186,144.00926,139.08858
224778_s_at,2084.9443,1975.608,1600.4314,1379.7764
224832_at,550.72174,484.47153,296.16522,305.56808
224858_at,760.75903,702.0528,541.1825,492.4272
224868_at,81.859924,88.87782,96.125565,88.09912
224878_at,1140.5348,1218.6436,1053.2451,914.7632
224886_at,150.7541,148.81113,145.14435,124.30683
224888_at,498.3135,526.34344,414.7421,371.95206
224913_s_at,1828.865,1937.7285,1432.4747,1217.4293
224918_x_at,5803.9565,5515.36,4789.861,4369.9756
224927_at,121.305855,131.5466,159.2884,165.94987
224930_x_at,8442.916,9433.055,9059.214,8512.35
224945_at,439.01828,516.73535,488.40668,470.07718
224948_at,3226.875,3377.1309,2967.749,2558.6921
224952_at,141.81241,154.38718,159.93253,153.20674
224956_at,1607.1699,1548.0182,1464.2067,1230.1812
224958_at,392.96152,346.1936,284.8191,282.6494
224966_s_at,76.849434,73.58578,79.68799,73.79743
224969_at,255.48523,256.54718,249.54533,271.53607
224977_at,96.65835,87.99462,88.194595,78.759094
224988_at,121.66495,114.85823,108.154755,121.92733
225012_at,587.4061,520.2959,508.58664,562.26526
225031_at,203.7473,211.13516,199.7137,176.80501
225043_at,341.2288,333.49036,178.8093,142.27
225059_at,577.12006,565.5411,330.12814,280.93903
225065_x_at,1978.5472,2229.4805,2032.309,2027.6378
225091_at,723.7194,755.10004,568.08405,480.1375
225103_at,220.29323,243.62378,188.30048,183.89992
225119_at,471.4561,427.33438,371.75345,416.45584
225155_at,8543.055,9046.797,9225.958,9028.08
225157_at,357.04434,371.24167,274.37137,251.91893
225168_at,183.24634,154.18422,206.8454,212.03323
225177_at,351.89392,340.89197,274.39148,279.79498
225190_x_at,9816.13,10889.386,9773.067,8728.762
225289_at,433.64316,453.47153,348.6643,344.0796
225311_at,361.73343,353.21484,321.60956,332.54575
225359_at,1338.9086,1299.8192,897.2251,980.09973
225370_at,119.28597,126.5496,100.86388,87.09728
225383_at,237.47646,255.1696,224.76811,197.53568
225427_s_at,1003.62225,1004.33704,741.0124,819.8371
225443_at,324.02838,282.98294,234.00572,231.90811
225466_at,204.15991,215.4809,178.79025,181.66443
225471_s_at,360.40613,381.5001,295.31522,258.12732
225476_at,145.49358,152.44473,182.09221,184.90863
225484_at,207.41307,186.9321,160.90483,144.92761
225550_at,193.02205,185.77686,131.7832,107.967995
225556_at,1588.7323,1555.7386,1563.104,1377.5781
225584_at,536.72455,484.74927,377.53107,328.1799
225651_at,1082.2225,1020.51447,543.1809,491.89557
225656_at,136.1463,122.09642,114.2854,114.08485
225691_at,417.10657,412.93494,466.33533,400.3899
225713_at,75.74069,70.21118,75.37361,74.47575
225750_at,441.99686,504.7541,289.78992,277.7069
225832_s_at,118.24875,134.85854,124.005135,130.3219
225860_at,115.74545,117.61177,101.905106,86.93407
225861_at,658.21075,641.32,446.69354,466.84177
225901_at,502.94888,486.3358,271.46445,263.6666
225909_at,132.03394,125.75497,78.29039,92.27704
225913_at,409.47983,363.75626,360.063,392.63617
225918_at,528.0368,586.3172,310.07758,316.44458
225931_s_at,147.0095,150.78868,99.83843,83.59305
225935_at,233.95653,252.86057,213.79356,185.09207
225958_at,4356.3047,4555.3765,3268.843,3022.0977
226012_at,437.72675,476.96274,407.95496,386.32184
226023_at,84.50882,80.83164,59.82067,56.813232
226027_at,506.84277,490.7144,362.1459,308.10345
226035_at,552.7459,556.296,411.5125,350.21194
226053_at,134.42096,123.20233,86.9766,89.55166
226068_at,67.039734,63.422012,52.601357,51.739456
226086_at,398.53174,425.41357,197.67192,161.37363
226097_at,63.086754,58.681896,48.242657,47.029163
226116_at,1350.7703,1433.0402,1170.9667,1038.6003
226131_s_at,11926.637,12239.808,11465.89,11201.932
226143_at,108.63468,127.77914,128.01439,127.72872
226203_at,291.20093,270.75888,127.549385,111.3195
226206_at,196.20917,193.05803,153.73688,139.16551
226234_at,98.73017,90.81151,96.51051,87.235306
226240_at,126.78195,120.17955,127.708755,136.69139
226263_at,298.5987,300.04745,185.99182,179.6402
226307_at,78.41024,77.95797,69.63314,68.43016
226358_at,345.61807,315.04346,189.84929,166.82135
226361_at,289.64954,288.87262,206.17758,187.56268
226373_at,124.48058,141.76367,126.94628,123.43796
226404_at,191.16042,179.87619,93.45811,74.32104
226426_at,907.30286,980.2358,790.9488,721.1325
226437_at,313.96674,293.80832,229.74965,262.37827
226439_s_at,209.57942,241.17596,209.5628,196.22589
226467_at,265.62137,262.22897,196.07303,227.6169
226482_s_at,1743.3469,1852.4806,1142.601,970.32434
226515_at,479.5675,536.7366,420.98016,465.3622
226547_at,448.69855,437.4531,385.4418,330.2532
226569_s_at,197.1388,178.29202,166.10233,179.49948
226624_at,130.34525,147.42549,146.01718,156.4661
226648_at,459.22903,513.3193,425.13583,372.8804
226657_at,135.42989,130.58992,90.0491,84.49148
226689_at,734.0363,694.46045,496.57925,413.6748
226742_at,267.27542,239.98268,234.6463,209.882
226797_at,1859.2131,1740.5856,1608.1433,1422.3794
226852_at,76.68393,71.65002,67.417595,62.454147
226877_at,138.9236,151.56631,81.995094,73.23275
226882_x_at,193.64917,187.98216,150.38654,127.440285
226893_at,207.73161,216.66032,166.28941,144.31396
226921_at,685.26263,752.76215,715.8374,687.87085
226942_at,168.33527,147.43011,153.63376,148.13734
226954_at,509.03027,462.73764,292.97205,248.76828
227008_at,288.05365,276.0412,246.35742,210.93784
227014_at,235.7645,217.08281,140.73068,151.47487
227015_at,164.84016,176.96947,107.30457,97.80427
227033_at,501.0882,465.16385,449.66772,391.6462
227065_at,180.08315,173.40236,177.7366,157.10275
227092_at,202.24414,212.68338,180.69344,153.36887
227096_at,53.587955,50.18115,49.95257,51.530647
227111_at,539.9843,474.8242,407.1443,368.53787
227139_s_at,1291.7828,1316.5878,1083.4795,901.0075
227146_at,325.7809,298.64447,214.7192,196.27798
227153_at,245.43109,221.12894,153.91324,134.53822
227160_s_at,509.65317,506.07477,466.20154,416.55328
227165_at,422.91898,461.21652,362.24072,334.8099
227179_at,75.71233,89.816864,156.02228,144.38223
227184_at,158.77638,148.65416,107.36996,103.42171
227215_at,277.98166,265.53394,200.22559,204.30951
227223_at,423.57,385.46576,297.43167,333.79315
227231_at,206.51353,202.18439,120.554306,105.16917
227285_at,180.10892,171.0239,46.247528,55.99663
227308_x_at,72.835175,73.566124,37.776173,42.754845
227325_at,100.94615,111.39948,78.10046,76.188484
227329_at,195.33615,178.60439,107.10966,91.57213
227415_at,203.35446,215.7433,102.88156,84.72255
227423_at,127.955925,135.03886,91.55,104.18436
227444_at,294.66763,270.56317,242.1333,239.79398
227500_at,70.02254,74.38083,65.267815,71.42698
227528_s_at,90.90673,94.69795,62.414528,69.743126
227651_at,468.64746,475.15012,397.60284,459.00687
227657_at,91.24424,95.754715,59.518215,66.60205
227686_at,427.64267,434.4517,371.0167,420.4159
227746_at,70.95323,75.70936,46.192867,44.49892
227770_at,146.95111,163.6646,103.31921,101.91332
227784_s_at,177.05412,172.88708,126.97913,115.83209
227793_at,212.57529,210.96321,140.54935,125.98832
227858_at,118.23945,124.78715,82.98682,97.80287
227890_at,126.81322,125.5172,114.412766,107.27724
227924_at,102.29751,113.69235,74.60012,67.85649
227931_at,1090.9546,1104.6759,647.4594,504.24652
227946_at,66.86923,72.73188,65.50864,63.611565
227966_s_at,75.61103,77.5163,40.21609,42.75288
227982_at,125.81022,131.13776,72.96189,61.19625
227991_x_at,183.33557,168.98257,138.01212,122.587524
227994_x_at,204.19812,189.94275,184.2648,158.68793
228001_at,125.622444,126.11205,77.80772,78.18825
228003_at,67.78904,67.94992,59.599457,56.778446
228005_at,442.64365,390.60193,241.17087,235.9161
228010_at,205.16179,198.91322,137.32472,124.84845
228051_at,462.61652,457.9558,251.5135,240.31001
228089_x_at,244.23248,239.37721,194.71167,174.72632
228248_at,258.7011,282.11276,129.13129,127.27932
228271_at,154.4718,144.90434,112.39799,96.041405
228340_at,145.66434,159.63715,116.677925,112.0961
228342_s_at,257.5131,271.8987,132.43542,125.91917
228354_at,115.64007,112.67233,53.45924,59.943005
228379_at,164.04436,157.46295,196.10464,179.22832
228392_at,164.97588,167.03912,68.22684,63.56564
228462_at,446.009,423.1877,287.95065,321.3146
228499_at,80.1262,80.207886,82.95547,75.38615
228579_at,84.932655,79.5145,56.42729,57.260033
228604_at,236.26234,236.30327,96.42101,70.3406
228630_at,187.7691,172.71887,119.29327,100.8615
228674_s_at,375.16666,394.64316,375.28745,353.18542
228680_at,326.65903,290.01468,330.4065,304.06635
228688_at,101.38689,99.22267,70.142845,67.4795
228746_s_at,402.51822,343.3346,487.50577,447.7374
228755_at,281.94592,248.81572,267.4265,262.85306
228801_at,208.02176,198.40279,164.14018,144.2883
228855_at,270.28107,277.03436,179.03963,144.45541
228861_at,133.14674,143.50735,75.32274,79.578575
228906_at,2480.9158,2359.7654,1236.6067,1079.3684
228974_at,981.4716,983.1898,471.7597,391.69177
229118_at,81.952156,82.2229,47.866047,46.81615
229126_at,125.8781,119.260315,89.51384,79.47291
229175_at,156.2915,156.60387,128.80222,107.250786
229255_x_at,85.8069,94.16829,149.08868,163.86081
229263_at,73.50728,79.22997,72.68204,69.265366
229269_x_at,283.215,250.67836,189.99794,209.42322
229280_s_at,126.146324,115.78934,106.80447,115.059685
229348_at,256.9754,243.0084,165.81183,138.1694
229393_at,212.72633,221.0278,172.72949,151.14076
229418_at,220.49435,228.32623,199.60243,184.15837
229488_at,56.366657,58.30041,32.630024,31.625032
229563_s_at,10798.886,11300.402,10720.591,11032.243
229572_at,110.792145,109.325905,95.52156,90.38116
229661_at,2968.0708,3283.5522,2666.6357,2584.9905
229794_at,167.91866,164.14165,100.10349,81.06208
229812_at,119.984276,126.76176,118.16034,101.29468
229963_at,572.8471,518.0946,278.5436,281.35703
230085_at,171.16017,174.97523,236.1333,222.60265
230118_at,77.65921,77.54945,86.749596,76.13605
230207_s_at,70.96058,76.54531,57.517883,55.251087
230259_at,171.86981,157.64569,126.05117,134.18246
230292_at,147.11552,141.95728,100.33414,99.867836
230314_at,75.18176,69.738075,44.45773,44.22314
230339_at,105.66113,114.83121,124.98474,109.75316
230427_s_at,127.14195,124.41753,123.674286,115.63682
230556_at,269.01605,292.91122,292.2274,272.84323
230628_at,77.74949,72.199326,44.10495,44.945423
230687_at,141.69196,133.39874,75.30299,71.76627
230698_at,75.48019,83.1825,50.00634,50.83739
231015_at,214.01854,238.20093,109.02424,103.79267
231061_at,8315.066,9304.341,9536.039,8782.142
231071_at,54.83426,53.1013,47.259888,45.661354
231119_at,64.581505,67.79426,109.46359,104.82976
231341_at,99.309,105.79238,23.237509,21.875439
231493_at,56.486465,54.365097,66.71295,70.10801
231715_s_at,438.47043,391.6237,411.32187,366.5902
231720_s_at,98.470146,94.21819,124.98998,140.77126
231723_at,129.0998,119.72928,113.251076,129.37758
231736_x_at,5435.7563,5150.9526,4413.8896,4031.2317
231770_x_at,153.0498,135.40724,109.17446,105.77707
231949_at,45.40422,45.241493,41.034504,42.056103
231953_at,794.47797,775.5743,311.98456,407.18762
231973_s_at,494.34525,478.05582,255.28687,196.46523
232095_at,169.26468,165.06238,85.987526,71.67129
232172_at,205.74136,199.08963,91.410706,82.84896
232191_at,103.6029,111.12496,33.688858,34.412056
232202_at,118.120514,112.839966,146.45508,132.65955
232215_x_at,1958.2114,1857.9269,787.8314,983.4264
232221_x_at,146.70163,157.19183,106.81594,123.58799
232269_x_at,149.14261,146.89188,82.68969,72.99508
232296_s_at,115.87402,122.9754,166.22209,179.99663
232341_x_at,113.4649,120.72429,65.44378,57.072163
232351_at,78.96303,76.53481,48.080433,46.278202
232359_at,96.42959,102.80661,77.14997,75.91036
232447_at,71.22349,73.56715,59.795406,62.769924
232752_at,62.569378,67.44191,98.62395,93.094444
232859_s_at,151.23225,151.37793,164.37863,156.47458
232985_s_at,6683.0513,6653.9663,5588.6094,4860.5293
233049_x_at,997.3546,992.23193,868.025,733.8054
233177_s_at,77.80609,68.736275,73.090515,75.6427
233274_at,109.55897,99.82183,65.75789,62.739933
233359_at,94.791145,91.55802,41.65046,35.716522
233563_s_at,195.60854,212.53166,148.55878,129.8661
233775_x_at,285.56924,259.7419,120.04207,104.20788
234001_s_at,125.34564,121.409744,91.1445,76.47686
234307_s_at,220.72156,231.11545,217.26958,240.28333
234317_s_at,140.71529,144.3121,215.58078,204.88275
234341_x_at,404.9562,396.22147,306.62207,344.7029
234605_at,123.38905,120.43041,43.783253,37.872776
234807_x_at,182.7926,186.79543,173.73044,202.27649
234936_s_at,146.38733,141.99031,131.20287,124.58455
234944_s_at,178.95113,165.0889,136.65128,132.87509
234994_at,611.356,648.1861,563.884,478.77658
235005_at,424.26218,448.36618,351.799,324.30328
235026_at,95.95676,98.65649,45.63747,46.270233
235071_at,523.4667,548.1601,434.65765,409.5621
235199_at,760.76807,746.5801,480.96786,406.281
235214_at,89.91812,88.12295,78.42439,78.832924
235231_at,76.72505,70.89575,83.55585,88.72801
235252_at,601.89734,535.7263,428.7639,405.10693
235269_at,146.87018,130.19312,121.795906,128.81006
235298_at,58.72095,56.669163,51.012474,50.955482
235333_at,1279.4636,1347.5632,900.60144,730.9964
235363_at,883.31146,942.4822,802.3646,675.2186
235424_at,76.814514,70.96836,79.720024,78.61117
235433_at,179.74016,176.98193,88.37966,84.457
235677_at,59.692783,56.536186,51.755634,47.575546
235764_at,231.95755,208.13104,130.7778,115.05957
235779_at,88.65754,97.81988,59.120995,55.571075
235846_at,376.36417,383.96582,238.93834,228.7658
235893_at,58.488087,54.27174,53.070366,55.6094
235923_at,68.29723,74.68807,65.13207,60.288155
235984_at,166.06674,156.89886,96.97306,102.58626
236004_at,88.15411,89.17088,100.929634,100.68624
236030_at,218.83762,209.17812,151.63963,145.50117
236240_at,234.77802,224.3917,164.13976,156.81758
236283_x_at,267.96252,277.26263,239.91716,227.2862
236465_at,162.45312,174.9703,101.10586,87.27294
236578_at,161.27258,151.69266,70.85881,75.222824
236609_at,58.348103,66.10892,68.97833,65.26615
236649_at,137.46986,154.9348,142.1484,126.97683
236913_at,55.962532,51.391705,49.45525,47.17839
237193_s_at,1768.074,1632.7456,711.13324,847.3887
237299_at,81.70968,82.50372,123.97157,110.87893
237652_at,46.2993,45.60891,40.522987,39.46544
237681_at,96.34469,100.49192,56.677406,51.24214
238066_at,200.90381,192.98741,67.85916,77.17035
238123_at,88.46292,99.65911,79.58234,74.30652
238148_s_at,72.69256,75.59631,64.800964,70.78353
238205_at,131.26343,127.92662,131.20422,122.588615
238478_at,149.23003,134.59216,142.80959,132.11531
238573_at,86.09784,93.21277,71.269684,66.09146
238574_at,68.71594,70.84708,59.781437,65.27405
238650_x_at,270.93417,289.27237,187.45888,202.72011
238716_at,174.5385,192.9869,114.05729,114.753845
238722_x_at,92.6459,90.69032,73.96326,73.27429
238843_at,125.87352,128.5097,122.13529,102.933876
238952_x_at,145.30582,145.86385,131.97438,123.34775
239053_at,173.76483,153.70528,151.85861,147.65996
239148_at,317.56064,317.48004,274.85513,235.04091
239197_s_at,95.42623,104.08217,70.85893,64.816475
239411_at,88.01004,83.93705,36.23091,42.811844
239462_at,81.66502,79.0469,39.653526,37.227688
239484_at,144.29083,132.72696,68.83535,78.47615
239709_at,109.0313,121.55417,67.6965,71.76544
239781_at,315.76923,322.17767,183.46184,190.03368
240079_at,108.04692,96.992775,56.96708,54.72076
240084_at,83.88873,80.70393,49.648342,53.258472
240727_s_at,73.812164,75.73506,52.494717,51.479374
241285_at,59.333393,57.293747,36.420815,40.025455
241303_x_at,140.82397,144.61377,120.956024,130.36472
241373_at,106.28494,99.96334,77.11877,88.773834
241489_at,82.84234,82.90624,60.709465,52.708736
241748_x_at,75.93671,79.8618,62.26204,65.605705
241779_at,102.48154,99.99298,62.134354,59.09714
242073_at,184.88535,158.65332,158.85077,169.28186
242086_at,132.68994,128.97453,65.23693,58.13124
242143_at,124.48169,133.20177,79.10939,70.260506
242282_at,76.77472,81.46127,76.036415,76.85566
242294_at,92.51493,100.0894,55.726513,61.20673
242352_at,272.0717,266.25458,272.99713,235.99402
242414_at,1000.25903,973.76843,708.18164,604.3101
242515_x_at,238.99277,237.90524,250.90042,254.5805
242748_at,128.08273,146.35022,118.29273,117.06285
242780_at,66.73836,66.08187,38.394974,37.85962
242825_at,58.872707,60.54597,45.396255,47.085407
242853_at,99.86863,94.497665,52.566563,56.474403
242961_x_at,230.34264,255.29463,191.37694,167.86073
243_g_at,1125.3887,1149.1932,1261.9077,1075.1392
243007_at,93.24731,97.13939,100.52228,87.399956
243051_at,129.46686,118.46218,71.123505,69.81125
243395_at,91.537056,96.24506,41.398052,42.751663
243618_s_at,946.6024,927.92926,717.4357,734.972
243643_x_at,208.02602,183.05016,144.14136,131.89084
243699_at,57.33383,56.640175,41.097973,40.398605
243895_x_at,62.29357,60.45101,37.512302,35.04569
244110_at,98.81303,110.26099,80.56481,74.31524
244264_at,338.216,355.91608,220.9557,228.7562
244695_at,98.97894,94.81048,57.35692,60.42159
31861_at,190.18599,177.28362,152.53943,150.82288
32069_at,718.5302,716.85266,672.45874,642.29663
32502_at,117.20455,134.19182,145.92546,134.461
33646_g_at,74.0565,75.0665,55.440655,59.448383
33768_at,128.75429,128.21005,104.72957,96.56367
33814_at,133.75879,135.38057,116.78275,116.01735
37586_at,88.212204,96.6911,85.55936,77.17553
37831_at,199.11273,183.46196,143.27959,121.12905
38703_at,677.1281,667.3653,408.21716,371.4211
39582_at,84.41329,89.32383,80.79443,83.885216
39650_s_at,157.4844,152.91338,125.44665,113.2996
40189_at,8443.72,8845.596,7544.2993,6473.862
41220_at,3008.888,3184.911,3133.1467,3040.2896
44563_at,414.24207,474.47498,397.75952,367.3626
44654_at,799.15845,768.8119,745.91956,654.5431
45572_s_at,908.7446,873.83514,612.7085,533.5144
46270_at,294.44604,263.68735,243.96245,216.80138
48580_at,416.1091,489.99835,457.80872,462.7835
48612_at,327.01917,308.39462,277.39758,300.32367
48659_at,626.0005,557.1218,390.23288,380.90314
51200_at,848.72516,871.9253,707.65564,586.6436
52005_at,214.70139,222.3569,178.5086,177.10991
52940_at,462.8028,405.36035,290.44656,317.8013
53720_at,239.29675,242.56906,152.08832,154.67468
53987_at,110.26809,106.26643,112.45707,119.39129
55093_at,110.17753,125.14694,94.51197,95.17676
55705_at,736.87555,712.59674,507.09982,544.4096
56256_at,433.73804,445.7143,383.85214,389.87885
564_at,350.09854,376.30768,329.10928,315.2151
56829_at,163.28763,167.91849,155.99934,183.89975
57532_at,420.9259,400.5466,311.53406,284.53323
58308_at,50.438423,51.95618,40.10853,41.502228
58367_s_at,331.69894,340.94788,269.4156,230.36044
64440_at,130.42712,120.7458,111.69819,126.17972
65517_at,314.79407,295.93256,171.09468,201.14339
65635_at,252.84686,262.02036,175.94754,210.68643
65770_at,408.0561,449.77533,325.36276,282.33273
